
cncvae, Clin+mRNA, IC, 2, mmd,0.6388888888888888, 0.5505050505050505, 0.9987373737373737, 0.3484848484848485, 1.0, 0.5934343434343434
cncvae, Clin+mRNA, IC, 2, mmd,0.6521464646464646, 0.5505050505050505, 0.9974747474747475, 0.3181818181818182, 1.0, 0.6060606060606061
cncvae, Clin+mRNA, ER, 2, mmd,0.9034090909090909, 0.8762626262626263, 0.9981060606060606, 0.8358585858585859, 0.9993686868686869, 0.9015151515151515
cncvae, Clin+mRNA, ER, 2, mmd,0.9053030303030303, 0.9090909090909091, 0.9993686868686869, 0.797979797979798, 1.0, 0.9090909090909091
cncvae, Clin+mRNA, IC, 2, kl,0.15088383838383837, 0.15151515151515152, 0.17297979797979798, 0.17424242424242425, 0.17297979797979798, 0.17424242424242425
cncvae, Clin+mRNA, IC, 2, kl,0.06186868686868687, 0.09848484848484848, 0.17297979797979798, 0.17424242424242425, 0.23547979797979798, 0.1717171717171717
cncvae, Clin+mRNA, IC, 2, mmd,0.6306818181818182, 0.5429292929292929, 0.9955808080808081, 0.29797979797979796, 1.0, 0.5959595959595959
cncvae, Clin+mRNA, IC, 2, mmd,0.625, 0.5328282828282829, 0.9779040404040404, 0.3434343434343434, 1.0, 0.5580808080808081
cncvae, Clin+mRNA, IC, 2, mmd,0.6483585858585859, 0.5757575757575758, 0.57260101010101, 0.15151515151515152, 1.0, 0.5631313131313131
hvae, Clin+mRNA, IC, 2, mmd,0.26073232323232326, 0.10101010101010101, 0.8712121212121212, 0.14898989898989898, 1.0, 0.13636363636363635
hvae, Clin+mRNA, IC, 2, mmd,0.2556818181818182, 0.10101010101010101, 0.8686868686868687, 0.16161616161616163, 1.0, 0.1590909090909091
hvae, CNA+mRNA, IC, 2, mmd,0.24684343434343434, 0.09343434343434344, 0.8371212121212122, 0.16414141414141414, 1.0, 0.17424242424242425
hvae, CNA+mRNA, ER, 2, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, CNA+mRNA, ER, 2, mmd,0.6824494949494949, 0.6439393939393939, 0.8983585858585859, 0.76010101010101, 0.9993686868686869, 0.75
hvae, CNA+mRNA, ER, 2, mmd,0.7058080808080808, 0.6262626262626263, 0.8964646464646465, 0.7575757575757576, 0.9993686868686869, 0.75
hvae, Clin+CNA, DR, 2, mmd,0.6685606060606061, 0.6616161616161617, 0.9002525252525253, 0.6893939393939394, 0.9993686868686869, 0.6893939393939394
hvae, Clin+CNA, PAM, 2, mmd,0.36363636363636365, 0.255050505050505, 0.8699494949494949, 0.35353535353535354, 1.0, 0.33080808080808083
hvae, Clin+mRNA, ER, 1, mmd,0.7039141414141414, 0.7070707070707071, 0.8983585858585859, 0.7626262626262627, 0.9987373737373737, 0.75
hvae, Clin+mRNA, ER, 2, mmd,0.6957070707070707, 0.6691919191919192, 0.898989898989899, 0.76010101010101, 0.9993686868686869, 0.7626262626262627
hvae, Clin+mRNA, ER, 3, mmd,0.7095959595959596, 0.6641414141414141, 0.9185606060606061, 0.7626262626262627, 0.9993686868686869, 0.7626262626262627
hvae, Clin+mRNA, ER, 4, mmd,0.7108585858585859, 0.6363636363636364, 0.9071969696969697, 0.7525252525252525, 1.0, 0.75
hvae, Clin+mRNA, ER, 5, mmd,0.6950757575757576, 0.6717171717171717, 0.9008838383838383, 0.76010101010101, 0.9993686868686869, 0.7575757575757576
hvae, Clin+mRNA, DR, 1, mmd,0.6565656565656566, 0.6540404040404041, 0.9103535353535354, 0.6893939393939394, 1.0, 0.6994949494949495
hvae, CNA+mRNA, ER, 1, mmd,0.7133838383838383, 0.6363636363636364, 0.9040404040404041, 0.7550505050505051, 0.9993686868686869, 0.7474747474747475
hvae, CNA+mRNA, ER, 1, kl,0.76010101010101, 0.7626262626262627, 0.76010101010101, 0.7626262626262627, 0.76010101010101, 0.7626262626262627
hvae, CNA+mRNA, ER, 2, mmd,0.7222222222222222, 0.6868686868686869, 0.9002525252525253, 0.76010101010101, 0.9993686868686869, 0.7575757575757576
hvae, CNA+mRNA, ER, 2, kl,0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101, 0.7607323232323232, 0.76010101010101
hvae, CNA+mRNA, ER, 3, mmd,0.7171717171717171, 0.6414141414141414, 0.9065656565656566, 0.76010101010101, 1.0, 0.7626262626262627
