homophily around 82
Model, Train_Naive_Bayes, Test_Naive_Bayes, Train_CSV, Test_CVS, Train_Random_Forest, Test_Random_Forest
dgi_singular_graph, 0.7704918032786885, 0.7305825242718447, 1.0, 0.4854368932038835, 1.0, 0.7864077669902912
pca, 0.6349306431273645, 0.6092233009708737, 0.6494325346784363, 0.5631067961165048, 0.9993694829760403, 0.5825242718446602
vgae_singular_graph_kl, 0.5485498108448928, 0.5364077669902912, 1.0, 0.4854368932038835, 0.9993694829760403, 0.7014563106796117
dgi_hetero_graph, 0.5605296343001261, 0.4854368932038835, 1.0, 0.4854368932038835, 0.9993694829760403, 0.4587378640776699
dgi_2_graph, 0.7755359394703657, 0.7742718446601942, 1.0, 0.4854368932038835, 1.0, 0.7694174757281553
dgi_2_graph, 0.8411097099621689, 0.8033980582524272, 1.0, 0.4854368932038835, 1.0, 0.8228155339805825
cncvae, 0.8121059268600253, 0.7912621359223301, 1.0, 0.4854368932038835, 1.0, 0.7669902912621359
dgi_hetero_graph, 0.575031525851198, 0.4854368932038835, 1.0, 0.4854368932038835, 0.9993694829760403, 0.5194174757281553
cncvae, 0.8146279949558638, 0.7888349514563107, 1.0, 0.4854368932038835, 1.0, 0.7305825242718447
cncvae, 0.7566204287515763, 0.6844660194174758, 1.0, 0.4854368932038835, 1.0, 0.7014563106796117
dgi_2_graph, 0.8058007566204287, 0.7864077669902912, 1.0, 0.4854368932038835, 1.0, 0.7694174757281553
dgi_singular_graph, 0.6576292559899117, 0.6116504854368932, 1.0, 0.4854368932038835, 1.0, 0.6577669902912622
dgi_hetero_graph, 0.5378310214375788, 0.4854368932038835, 1.0, 0.4854368932038835, 1.0, 0.5194174757281553
vgae_singular_graph_kl, 0.5807061790668349, 0.5145631067961165, 1.0, 0.4854368932038835, 0.9993694829760403, 0.4830097087378641
cncvae, 0.9066834804539723, 0.6771844660194175, 1.0, 0.4854368932038835, 1.0, 0.7694174757281553
dgi_2_graph, 0.8890290037831021, 0.7330097087378641, 1.0, 0.4854368932038835, 1.0, 0.8616504854368932
dgi_singular_graph, 0.7156368221941992, 0.6771844660194175, 1.0, 0.4854368932038835, 1.0, 0.7087378640776699
dgi_hetero_graph, 0.7194199243379571, 0.4320388349514563, 1.0, 0.4854368932038835, 1.0, 0.4587378640776699
vgae_singular_graph_kl, 0.9401008827238335, 0.5145631067961165, 1.0, 0.7184466019417476, 0.9993694829760403, 0.633495145631068
cncvae, 0.9010088272383354, 0.6820388349514563, 1.0, 0.4854368932038835, 1.0, 0.7548543689320388
dgi_2_graph, 0.9148802017654477, 0.7985436893203883, 1.0, 0.4854368932038835, 1.0, 0.8592233009708737
dgi_singular_graph, 0.9003783102143758, 0.8325242718446602, 1.0, 0.4854368932038835, 1.0, 0.8907766990291263
dgi_hetero_graph, 0.5510718789407314, 0.5218446601941747, 1.0, 0.4854368932038835, 1.0, 0.4975728155339806
vgae_singular_graph_kl, 0.7868852459016393, 0.6771844660194175, 0.9936948297604036, 0.8883495145631068, 0.9993694829760403, 0.6553398058252428
cncvae, 0.9041614123581336, 0.7014563106796117, 1.0, 0.4854368932038835, 1.0, 0.8033980582524272
dgi_2_graph, 0.9293820933165196, 0.8470873786407767, 1.0, 0.4854368932038835, 0.9993694829760403, 0.9199029126213593
dgi_singular_graph, 0.7988650693568726, 0.7111650485436893, 1.0, 0.4854368932038835, 1.0, 0.7548543689320388
dgi_hetero_graph, 0.617906683480454, 0.5145631067961165, 1.0, 0.4854368932038835, 1.0, 0.3883495145631068
vgae_singular_graph_kl, 0.8133669609079445, 0.8106796116504854, 0.9943253467843631, 0.6723300970873787, 1.0, 0.6868932038834952
cncvae, 0.9035308953341741, 0.6844660194174758, 1.0, 0.4854368932038835, 1.0, 0.7402912621359223
dgi_2_graph, 0.9010088272383354, 0.7864077669902912, 1.0, 0.4854368932038835, 1.0, 0.8349514563106796
dgi_singular_graph, 0.7402269861286255, 0.6432038834951457, 1.0, 0.4854368932038835, 1.0, 0.6432038834951457
dgi_hetero_graph, 0.6027742749054225, 0.46359223300970875, 1.0, 0.4854368932038835, 1.0, 0.6237864077669902
vgae_singular_graph_kl, 0.7049180327868853, 0.5121359223300971, 1.0, 0.8009708737864077, 1.0, 0.8179611650485437
cncvae, 0.8902900378310215, 0.6941747572815534, 1.0, 0.4854368932038835, 1.0, 0.7694174757281553
dgi_2_graph, 0.9470365699873896, 0.9393203883495146, 1.0, 0.4854368932038835, 1.0, 0.9393203883495146
dgi_singular_graph, 0.6923076923076923, 0.6237864077669902, 1.0, 0.4854368932038835, 1.0, 0.8349514563106796
dgi_hetero_graph, 0.6809583858764187, 0.5679611650485437, 1.0, 0.4854368932038835, 1.0, 0.5412621359223301
vgae_singular_graph_kl, 0.9117276166456494, 0.5121359223300971, 1.0, 0.35194174757281554, 0.9993694829760403, 0.7451456310679612
cncvae, 0.9218158890290038, 0.691747572815534, 1.0, 0.4854368932038835, 1.0, 0.75
dgi_2_graph, 0.926860025220681, 0.8689320388349514, 1.0, 0.4854368932038835, 1.0, 0.8932038834951457
dgi_singular_graph, 0.8411097099621689, 0.7548543689320388, 1.0, 0.4854368932038835, 1.0, 0.7475728155339806
dgi_hetero_graph, 0.5397225725094578, 0.5097087378640777, 1.0, 0.4854368932038835, 1.0, 0.616504854368932
vgae_singular_graph_kl, 0.924968474148802, 0.5509708737864077, 1.0, 0.7645631067961165, 0.9993694829760403, 0.5194174757281553
cncvae, 0.8991172761664565, 0.6577669902912622, 1.0, 0.4854368932038835, 1.0, 0.7475728155339806
dgi_2_graph, 0.9331651954602774, 0.883495145631068, 1.0, 0.4854368932038835, 1.0, 0.8883495145631068
dgi_singular_graph, 0.8121059268600253, 0.7038834951456311, 1.0, 0.4854368932038835, 1.0, 0.7354368932038835
dgi_hetero_graph, 0.5554854981084489, 0.5169902912621359, 1.0, 0.4854368932038835, 1.0, 0.48058252427184467
vgae_singular_graph_kl, 0.937578814627995, 0.7597087378640777, 1.0, 0.6019417475728155, 1.0, 0.5388349514563107
cncvae, 0.9022698612862547, 0.6796116504854369, 1.0, 0.4854368932038835, 1.0, 0.7135922330097088
dgi_2_graph, 0.862547288776797, 0.7961165048543689, 1.0, 0.4854368932038835, 1.0, 0.8616504854368932
dgi_singular_graph, 0.7200504413619168, 0.633495145631068, 1.0, 0.4854368932038835, 1.0, 0.6990291262135923
dgi_hetero_graph, 0.5466582597730139, 0.4854368932038835, 1.0, 0.4854368932038835, 1.0, 0.4223300970873786
vgae_singular_graph_kl, 0.5378310214375788, 0.558252427184466, 1.0, 0.4854368932038835, 1.0, 0.6359223300970874
cncvae, 0.9016393442622951, 0.6771844660194175, 1.0, 0.4854368932038835, 1.0, 0.7742718446601942
dgi_2_graph, 0.9255989911727617, 0.8228155339805825, 1.0, 0.4854368932038835, 1.0, 0.8907766990291263
