K, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
4,7920,0,0.7742424011230469,0.6051767468452454,0.1674242466688156,0.3565656542778015
6,11880,0,0.7711279392242432,0.6042929291725159,0.1633838415145874,0.351936012506485
8,15840,0,0.7688131332397461,0.6063131093978882,0.16420455276966095,0.35044193267822266
10,19800,0,0.7672222256660461,0.6091414093971252,0.16419191658496857,0.347777783870697
12,23760,0,0.7670875191688538,0.6087962985038757,0.16452020406723022,0.3490319848060608
14,27720,0,0.7658730149269104,0.6080086827278137,0.16453823447227478,0.3493145704269409
16,31680,0,0.76442551612854,0.6073863506317139,0.1632891446352005,0.34842172265052795
18,35640,0,0.7641414403915405,0.6067620515823364,0.16242985427379608,0.34800785779953003
20,39600,0,0.7636363506317139,0.6073989868164062,0.16176767647266388,0.3486616015434265
22,43560,0,0.7637740969657898,0.6072773337364197,0.1618916392326355,0.34843894839286804
24,47520,0,0.7630471587181091,0.6073653101921082,0.16159512102603912,0.3472011685371399
26,51480,0,0.7625291347503662,0.6069735884666443,0.16196581721305847,0.34658119082450867
28,55440,0,0.7620129585266113,0.6067099571228027,0.161399707198143,0.3457070589065552
30,59400,0,0.7606397271156311,0.6059427857398987,0.16095960140228271,0.3445286154747009
32,63360,0,0.7602903842926025,0.6057449579238892,0.16025884449481964,0.3437342047691345
34,67320,0,0.7591800093650818,0.6058080792427063,0.1602347046136856,0.3432560861110687
36,71280,0,0.7583894729614258,0.605990469455719,0.15983445942401886,0.34259259700775146
38,75240,0,0.7576422095298767,0.6060340404510498,0.15939660370349884,0.3425704538822174
40,79200,0,0.7561110854148865,0.6059975028038025,0.1596338450908661,0.342399001121521
42,83160,0,0.754906177520752,0.6060004830360413,0.15887445211410522,0.34105339646339417
44,87120,0,0.7544306516647339,0.6061868667602539,0.15844811499118805,0.3406795263290405
46,91080,0,0.7537878751754761,0.6056433916091919,0.15832234919071198,0.33987703919410706
48,95040,0,0.7533038854598999,0.6053661704063416,0.1581965535879135,0.33907827734947205
