K, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
4,7989,0,0.7867067456245422,0.5994492173194885,0.45086994767189026,0.38415321707725525
6,11943,0,0.7818806171417236,0.6015238761901855,0.4459516108036041,0.3826509118080139
8,15898,0,0.7796578407287598,0.6059252619743347,0.444395512342453,0.38419926166534424
10,19854,0,0.7752593755722046,0.6070817112922668,0.44031429290771484,0.3804774880409241
12,23812,0,0.7725516557693481,0.6107004880905151,0.4373845160007477,0.380312442779541
14,27770,0,0.7708678245544434,0.6058336496353149,0.4295642673969269,0.379402220249176
16,31728,0,0.7698562741279602,0.606656551361084,0.42580685019493103,0.38048410415649414
18,35686,0,0.7676680088043213,0.6081376671791077,0.42179006338119507,0.38006502389907837
20,39644,0,0.7662698030471802,0.6088184714317322,0.4190041422843933,0.37990617752075195
22,43602,0,0.7650795578956604,0.611118733882904,0.41578367352485657,0.3790881037712097
24,47560,0,0.7636038661003113,0.6124684810638428,0.41337257623672485,0.37819597125053406
26,51518,0,0.7628013491630554,0.6133196353912354,0.41123491525650024,0.37780970335006714
28,55476,0,0.7612661123275757,0.6138330101966858,0.4090597629547119,0.37693777680397034
30,59434,0,0.7598176002502441,0.6143453121185303,0.4076959192752838,0.3758791387081146
32,63392,0,0.759007453918457,0.6147936582565308,0.4078432619571686,0.37539437413215637
34,67350,0,0.7577579617500305,0.614922046661377,0.4081662893295288,0.3742242157459259
36,71308,0,0.7561423778533936,0.6162001490592957,0.40778031945228577,0.37266504764556885
38,75266,0,0.7550155520439148,0.6168123483657837,0.40578746795654297,0.37161535024642944
40,79224,0,0.7540391683578491,0.6176158785820007,0.4043724238872528,0.3704811632633209
42,83182,0,0.7531437277793884,0.6177899241447449,0.40321221947669983,0.3691423535346985
44,87140,0,0.7522262930870056,0.6166858077049255,0.40188202261924744,0.3683497905731201
46,91098,0,0.7514764070510864,0.6168960928916931,0.4011504054069519,0.36779072880744934
48,95056,0,0.7505049705505371,0.6159842610359192,0.4004797041416168,0.36713096499443054
