K, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
4,7920,0,0.8930555582046509,0.611868679523468,0.5746212005615234,0.5632575750350952
6,11880,0,0.8891414403915405,0.6147306561470032,0.5604377388954163,0.5552188754081726
8,15840,0,0.8859848380088806,0.617487370967865,0.5491161346435547,0.5477272868156433
10,19800,0,0.8851010203361511,0.6163131594657898,0.5422727465629578,0.5451515316963196
12,23760,0,0.882659912109375,0.6149410605430603,0.5319865345954895,0.539393961429596
14,27720,0,0.8798701167106628,0.6146464943885803,0.526190459728241,0.5340548157691956
16,31680,0,0.8773989677429199,0.6141729950904846,0.520012617111206,0.5289772748947144
18,35640,0,0.8755331039428711,0.6135522127151489,0.5144780874252319,0.5257575511932373
20,39600,0,0.8732070922851562,0.6148232221603394,0.5103282928466797,0.5241666436195374
22,43560,0,0.8715794086456299,0.6141643524169922,0.5052111744880676,0.5200642943382263
24,47520,0,0.8697811365127563,0.6151515245437622,0.5007786154747009,0.5166245698928833
26,51480,0,0.8683760762214661,0.6148406863212585,0.49687257409095764,0.51429682970047
28,55440,0,0.8667749166488647,0.6155663728713989,0.4935606122016907,0.5112734436988831
30,59400,0,0.8655892014503479,0.6158249378204346,0.48986533284187317,0.509915828704834
32,63360,0,0.8643150329589844,0.6159248948097229,0.48536932468414307,0.5080334544181824
34,67320,0,0.8629084825515747,0.6166815161705017,0.4821004271507263,0.5057041049003601
36,71280,0,0.8618967533111572,0.617017388343811,0.47909653186798096,0.5039141178131104
38,75240,0,0.8608585596084595,0.6173843741416931,0.4758240282535553,0.50236576795578
40,79200,0,0.8600378632545471,0.6176641583442688,0.473181813955307,0.5006818175315857
42,83160,0,0.8591630458831787,0.61753249168396,0.46991342306137085,0.49913421273231506
44,87120,0,0.8581497073173523,0.617825984954834,0.46737831830978394,0.4969811737537384
46,91080,0,0.8572463989257812,0.6182586550712585,0.4646684229373932,0.49577295780181885
48,95040,0,0.8564499020576477,0.6180239915847778,0.4622790515422821,0.4946233034133911
