R, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
1.2,420,1695,0.7809523940086365,0.6380952596664429,0.17142857611179352,0.39047619700431824
1.6,2998,1134,0.7831888198852539,0.6297531723976135,0.14809873700141907,0.39026015996932983
2.0,2998,1134,0.7831888198852539,0.6297531723976135,0.14809873700141907,0.39026015996932983
2.2,14756,573,0.7790051698684692,0.6309297680854797,0.15234480798244476,0.36730819940567017
2.4,14756,573,0.7790051698684692,0.6309297680854797,0.15234480798244476,0.36730819940567017
2.52,35567,190,0.7801332473754883,0.6205190420150757,0.1528383046388626,0.3534737229347229
2.6,35567,190,0.7801332473754883,0.6205190420150757,0.1528383046388626,0.3534737229347229
2.8,35567,190,0.7801332473754883,0.6205190420150757,0.1528383046388626,0.3534737229347229
3.2,60041,5,0.7285022139549255,0.598957359790802,0.15227927267551422,0.31891539692878723
3.6,62838,0,0.6951526403427124,0.5945447087287903,0.1448168307542801,0.2995639443397522
4,63322,0,0.6733046770095825,0.5969647169113159,0.13991977274417877,0.28490889072418213
5.0,63360,0,0.6510258913040161,0.5969065427780151,0.13390152156352997,0.26933395862579346
6.0,63360,0,0.650931179523468,0.5969854593276978,0.13391730189323425,0.2693023979663849
8,63360,0,0.650931179523468,0.5969854593276978,0.13391730189323425,0.2693023979663849
10.0,63360,0,0.650931179523468,0.5969854593276978,0.13391730189323425,0.2693023979663849
