R, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
0.5,15964,1204,0.7997995615005493,0.6978827118873596,0.6003507971763611,0.44525182247161865
0.55,21916,1039,0.8146103024482727,0.6698302626609802,0.5231794118881226,0.43570905923843384
0.60,28226,845,0.8217246532440186,0.6560972332954407,0.46003684401512146,0.4276907742023468
0.65,33856,667,0.8153650760650635,0.6397979855537415,0.3900342583656311,0.40725424885749817
0.70,39758,450,0.8090698719024658,0.626364529132843,0.3279843032360077,0.38216209411621094
0.75,46572,272,0.8015760779380798,0.6066091060638428,0.27804261445999146,0.35274413228034973
0.80,53600,119,0.7802798748016357,0.5971081852912903,0.23414179682731628,0.32373133301734924
0.85,59243,33,0.7595834136009216,0.5898418426513672,0.2043110579252243,0.30558884143829346
0.90,62928,7,0.7392258048057556,0.5825864672660828,0.18009470403194427,0.2917461097240448
0.95,64450,0,0.7222653031349182,0.5800620913505554,0.164328932762146,0.27965864539146423
1.00,64806,0,0.7086535096168518,0.578140914440155,0.15006326138973236,0.2699750065803528
1.05,64889,0,0.699856698513031,0.5741188526153564,0.14090216159820557,0.2638968229293823
1.10,64906,0,0.6933719515800476,0.5753705501556396,0.133808895945549,0.259529173374176
1.15,64911,0,0.6888355016708374,0.5764970779418945,0.12908443808555603,0.2565050721168518
1.20,64913,0,0.6851478219032288,0.5755241513252258,0.12562969326972961,0.2538936734199524
1.25,64914,0,0.6831962466239929,0.5748990774154663,0.12351726740598679,0.2526727616786957
1.30,64915,0,0.6813371181488037,0.574751615524292,0.12252946197986603,0.2515597343444824
1.35,64915,0,0.6804898977279663,0.5750288963317871,0.12209812551736832,0.25078949332237244
1.40,64915,0,0.6801201701164246,0.5749826431274414,0.1218208447098732,0.25055843591690063
1.45,64916,0,0.6800480484962463,0.5750046372413635,0.12175735086202621,0.25055456161499023
