R, Number of Edges, Isolated Nodes, Homophily ER, Homophily DR, Homophily IC, Homophily PAM
0.5,10535,1435,0.8411011099815369,0.7140958905220032,0.7727574706077576,0.5535832643508911
0.55,14470,1299,0.8483759760856628,0.7128542065620422,0.7118175625801086,0.5340014100074768
0.60,19012,1158,0.8579844236373901,0.7033978700637817,0.6519040465354919,0.5188828110694885
0.65,23613,1007,0.8554186224937439,0.6947444081306458,0.5840003490447998,0.5008681416511536
0.70,28294,871,0.8534671664237976,0.6820880770683289,0.5391955971717834,0.4758252501487732
0.75,32385,724,0.8482630848884583,0.6728115081787109,0.5004168748855591,0.4560753405094147
0.80,37174,566,0.8401302099227905,0.6547586917877197,0.4653790295124054,0.4413299560546875
0.85,42157,398,0.8299926519393921,0.6381384134292603,0.4373413622379303,0.4232749044895172
0.90,47560,246,0.8152649402618408,0.6211732625961304,0.408305287361145,0.4013456702232361
0.95,53122,124,0.7989533543586731,0.6147735118865967,0.3832875192165375,0.38550883531570435
1.00,57543,36,0.7828232645988464,0.6050605773925781,0.3735988736152649,0.3775263726711273
1.05,61168,11,0.765187680721283,0.6016217470169067,0.3629021644592285,0.36911457777023315
1.10,62867,2,0.7501869201660156,0.599217414855957,0.35643500089645386,0.3616046607494354
1.15,63453,1,0.7384836077690125,0.5965675115585327,0.35123634338378906,0.3573826253414154
1.20,63655,0,0.7289294004440308,0.5933076739311218,0.3436964750289917,0.3542691171169281
1.25,63715,0,0.7213528752326965,0.5924664735794067,0.3384603261947632,0.34991759061813354
1.30,63743,0,0.7155765891075134,0.5909982323646545,0.33216196298599243,0.3472851812839508
1.35,63749,0,0.7126857042312622,0.5901739597320557,0.3288365304470062,0.3452446460723877
1.40,63750,0,0.7099137306213379,0.5898666381835938,0.326729416847229,0.34332549571990967
1.45,63751,0,0.7082712650299072,0.5897162556648254,0.32482627034187317,0.34242600202560425
